aa_eleicao;nm_pais;nm_regiao;sg_uf;nm_municipio;ds_tipo_deficiencia;qt_eleitor_apto;qt_eleitor_comp;qt_eleitor_abstencao
2022;Brasil;NORTE;AC;SENA MADUREIRA;DIFICULDADE PARA O EXERCÍCIO DO VOTO;2;0;2
2022;Brasil;NORTE;AC;SENA MADUREIRA;OUTROS;108;66;42
2022;Brasil;NORTE;AC;SENADOR GUIOMARD;DEFICIÊNCIA AUDITIVA;9;7;2
2022;Brasil;NORTE;AC;SENADOR GUIOMARD;DEFICIÊNCIA DE LOCOMOÇÃO;24;13;11
2022;Brasil;NORTE;AC;SENADOR GUIOMARD;DEFICIÊNCIA VISUAL;15;7;8
2022;Brasil;NORTE;AC;SENADOR GUIOMARD;DIFICULDADE PARA O EXERCÍCIO DO VOTO;3;1;2
2022;Brasil;NORTE;AC;SENADOR GUIOMARD;OUTROS;34;22;12
2022;Brasil;NORTE;AC;TARAUACÁ;DEFICIÊNCIA AUDITIVA;18;10;8
2022;Brasil;NORTE;AC;TARAUACÁ;DEFICIÊNCIA DE LOCOMOÇÃO;27;14;13
2022;Brasil;NORTE;AC;TARAUACÁ;DEFICIÊNCIA VISUAL;37;18;19
2022;Brasil;NORTE;AC;TARAUACÁ;DIFICULDADE PARA O EXERCÍCIO DO VOTO;14;0;14
2022;Brasil;NORTE;AC;TARAUACÁ;OUTROS;91;58;33
2022;Brasil;NORTE;AC;XAPURI;DEFICIÊNCIA AUDITIVA;9;7;2
2022;Brasil;NORTE;AC;XAPURI;DEFICIÊNCIA DE LOCOMOÇÃO;23;11;12
2022;Brasil;NORTE;AC;XAPURI;DEFICIÊNCIA VISUAL;17;10;7
2022;Brasil;NORTE;AC;XAPURI;DIFICULDADE PARA O EXERCÍCIO DO VOTO;1;0;1
2022;Brasil;NORTE;AC;XAPURI;OUTROS;32;18;14
2022;Brasil;NORDESTE;AL;ANADIA;DEFICIÊNCIA AUDITIVA;3;3;0
2022;Brasil;NORDESTE;AL;ANADIA;DEFICIÊNCIA DE LOCOMOÇÃO;24;13;11
2022;Brasil;NORDESTE;AL;ANADIA;DEFICIÊNCIA VISUAL;20;14;6
2022;Brasil;NORDESTE;AL;ANADIA;OUTROS;60;36;24
2022;Brasil;NORDESTE;AL;ARAPIRACA;DEFICIÊNCIA AUDITIVA;74;56;18
2022;Brasil;NORDESTE;AL;ARAPIRACA;DEFICIÊNCIA DE LOCOMOÇÃO;103;61;42
2022;Brasil;NORDESTE;AL;ARAPIRACA;DEFICIÊNCIA VISUAL;71;46;25
2022;Brasil;NORDESTE;AL;ARAPIRACA;OUTROS;220;144;76
2022;Brasil;NORDESTE;AL;ATALAIA;DEFICIÊNCIA AUDITIVA;12;9;3
2022;Brasil;NORDESTE;AL;ATALAIA;DEFICIÊNCIA DE LOCOMOÇÃO;20;11;9
2022;Brasil;NORDESTE;AL;ATALAIA;DEFICIÊNCIA VISUAL;19;11;8
2022;Brasil;NORDESTE;AL;ATALAIA;OUTROS;104;58;46
2022;Brasil;NORDESTE;AL;BARRA DE SANTO ANTÔNIO;DEFICIÊNCIA AUDITIVA;6;4;2
2022;Brasil;NORDESTE;AL;BARRA DE SANTO ANTÔNIO;DEFICIÊNCIA DE LOCOMOÇÃO;38;26;12
2022;Brasil;NORDESTE;AL;BARRA DE SANTO ANTÔNIO;DEFICIÊNCIA VISUAL;19;12;7
2022;Brasil;NORDESTE;AL;BARRA DE SANTO ANTÔNIO;OUTROS;29;20;9
2022;Brasil;NORDESTE;AL;BARRA DE SÃO MIGUEL;DEFICIÊNCIA AUDITIVA;3;1;2
2022;Brasil;NORDESTE;AL;BARRA DE SÃO MIGUEL;DEFICIÊNCIA DE LOCOMOÇÃO;15;11;4
2022;Brasil;NORDESTE;AL;BARRA DE SÃO MIGUEL;DEFICIÊNCIA VISUAL;7;5;2
2022;Brasil;NORDESTE;AL;BARRA DE SÃO MIGUEL;OUTROS;21;14;7
2022;Brasil;NORDESTE;AL;BATALHA;DEFICIÊNCIA AUDITIVA;5;4;1
2022;Brasil;NORDESTE;AL;BATALHA;DEFICIÊNCIA DE LOCOMOÇÃO;22;16;6
2022;Brasil;NORDESTE;AL;BATALHA;DEFICIÊNCIA VISUAL;15;4;11
2022;Brasil;NORDESTE;AL;BATALHA;OUTROS;30;18;12
2022;Brasil;NORDESTE;AL;BELO MONTE;DEFICIÊNCIA AUDITIVA;1;1;0
2022;Brasil;NORDESTE;AL;BELO MONTE;DEFICIÊNCIA DE LOCOMOÇÃO;13;9;4
2022;Brasil;NORDESTE;AL;BELO MONTE;DEFICIÊNCIA VISUAL;7;2;5
2022;Brasil;NORDESTE;AL;BELO MONTE;OUTROS;14;8;6
2022;Brasil;NORDESTE;AL;BELÉM;DEFICIÊNCIA AUDITIVA;2;2;0
2022;Brasil;NORDESTE;AL;BELÉM;DEFICIÊNCIA DE LOCOMOÇÃO;9;5;4
2022;Brasil;NORDESTE;AL;BELÉM;DEFICIÊNCIA VISUAL;12;8;4
2022;Brasil;NORDESTE;AL;BELÉM;OUTROS;11;8;3
2022;Brasil;NORDESTE;AL;BOCA DA MATA;DEFICIÊNCIA AUDITIVA;10;6;4
2022;Brasil;NORDESTE;AL;BOCA DA MATA;DEFICIÊNCIA DE LOCOMOÇÃO;20;12;8
2022;Brasil;NORDESTE;AL;BOCA DA MATA;DEFICIÊNCIA VISUAL;22;11;11
2022;Brasil;NORDESTE;AL;BOCA DA MATA;OUTROS;56;40;16
2022;Brasil;NORDESTE;AL;BRANQUINHA;DEFICIÊNCIA AUDITIVA;3;2;1
2022;Brasil;NORDESTE;AL;BRANQUINHA;DEFICIÊNCIA DE LOCOMOÇÃO;11;7;4
2022;Brasil;NORDESTE;AL;BRANQUINHA;DEFICIÊNCIA VISUAL;10;7;3
2022;Brasil;NORDESTE;AL;BRANQUINHA;OUTROS;40;29;11
2022;Brasil;NORDESTE;AL;CACIMBINHAS;DEFICIÊNCIA AUDITIVA;3;2;1
2022;Brasil;NORDESTE;AL;CACIMBINHAS;DEFICIÊNCIA DE LOCOMOÇÃO;6;5;1
2022;Brasil;NORDESTE;AL;CACIMBINHAS;DEFICIÊNCIA VISUAL;3;1;2
