cd_municipio;nm_municipio;nr_turno;qt_secoes_agregadas;qt_aptos_tot;qt_comparecimento;qt_votos_nom_validos;qt_votos_brancos;qt_total_vt_leg_validos;qt_total_votos_anulados;qt_votos_validos;qt_votos;qt_total_votos_nulos
48135;MATEUS LEME;1;1;27500;21191;19741;551;0;0;19741;21191;899
48151;MATIAS BARBOSA;1;1;11979;9603;9170;125;0;0;9170;9603;308
48178;MATIPÓ;1;0;14062;11388;10745;226;0;0;10745;11388;417
48194;MATO VERDE;1;2;10619;8609;8209;116;0;0;8209;8609;284
48216;MATOZINHOS;1;0;30069;24111;22560;600;0;0;22560;24111;951
48232;MATUTINA;1;0;3481;2524;2389;43;0;0;2389;2524;92
48259;MEDEIROS;1;1;3108;2406;2337;30;0;0;2337;2406;39
48275;MEDINA;1;3;16184;11552;10920;165;0;0;10920;11552;467
48291;MENDES PIMENTEL;1;12;5227;3714;3526;49;0;0;3526;3714;139
48313;MERCÊS;1;0;8795;6802;6420;118;0;0;6420;6802;264
48330;MESQUITA;1;0;5557;3826;3611;60;0;0;3611;3826;155
48356;MINAS NOVAS;1;4;22359;13909;12976;178;0;0;12976;13909;755
48372;MINDURI;1;0;3292;2577;2474;35;0;0;2474;2577;68
48399;MIRABELA;1;0;11499;8508;8164;99;0;0;8164;8508;245
48410;MIRADOURO;1;1;8088;6575;6218;101;0;0;6218;6575;256
48437;MIRAÍ;1;7;10546;8081;7731;106;0;0;7731;8081;244
48453;MOEDA;1;3;4969;4221;4013;67;0;0;4013;4221;141
48470;MOEMA;1;1;6684;5172;4931;97;0;0;4931;5172;144
48496;MONJOLOS;1;1;2293;1606;1537;11;0;0;1537;1606;58
48518;MONSENHOR PAULO;1;0;6950;5452;5160;122;0;0;5160;5452;170
48534;MONTALVÂNIA;1;7;13064;8952;8510;96;0;0;8510;8952;346
48550;MONTE ALEGRE DE MINAS;1;6;15459;11193;10692;170;0;0;10692;11193;331
48577;MONTE AZUL;1;3;17531;13809;13114;185;0;0;13114;13809;510
48593;MONTE BELO;1;1;10976;8515;8066;210;0;0;8066;8515;239
48615;MONTE CARMELO;1;0;36381;28062;26777;462;0;0;26777;28062;823
48631;MONTE SANTO DE MINAS;1;0;17280;12730;11897;337;0;0;11897;12730;496
48658;MONTES CLAROS;1;45;288433;233621;222382;3759;0;0;222382;233621;7480
48674;MONTE SIÃO;1;0;18576;14553;13982;244;0;0;13982;14553;327
48690;MORADA NOVA DE MINAS;1;0;7297;5459;5195;102;0;0;5195;5459;162
48712;MORRO DA GARÇA;1;3;2852;2131;2046;28;0;0;2046;2131;57
48739;MORRO DO PILAR;1;1;3681;2751;2558;23;0;0;2558;2751;170
48755;MUNHOZ;1;1;5926;4719;4477;109;0;0;4477;4719;133
48771;MURIAÉ;1;7;78180;62810;59782;995;0;0;59782;62810;2033
48798;MUTUM;1;6;21386;16485;15801;250;0;0;15801;16485;434
48810;MUZAMBINHO;1;0;18046;13960;13383;258;0;0;13383;13960;319
48836;NACIP RAYDAN;1;0;2907;1801;1705;14;0;0;1705;1801;82
48852;NANUQUE;1;20;29719;20561;19691;293;0;0;19691;20561;577
48879;NATÉRCIA;1;2;4109;3240;2997;99;0;0;2997;3240;144
48895;NAZARENO;1;0;6537;5288;5030;101;0;0;5030;5288;157
48917;NEPOMUCENO;1;2;20948;15962;15026;326;0;0;15026;15962;610
48933;NOVA ERA;1;2;15051;11496;10918;189;0;0;10918;11496;389
48950;NOVA LIMA;1;13;76347;61685;58726;1070;0;0;58726;61685;1889
48976;NOVA MÓDICA;1;4;3669;2607;2480;30;0;0;2480;2607;97
48992;NOVA PONTE;1;0;12637;9543;9168;117;0;0;9168;9543;258
